{'Nom': 'Person 1', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 3, 'Total_Occurrences': 69, 'Activity_Ratio': 0.043478260869565216, 'Normalized_Rating': 5}
{'Nom': 'Person 10', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 100', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 100', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 101', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 101', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 102', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 102', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 2, 'Total_Occurrences': 65, 'Activity_Ratio': 0.03076923076923077, 'Normalized_Rating': 5}
{'Nom': 'Person 103', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 103', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 103', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 104', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 105', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 2, 'Total_Occurrences': 67, 'Activity_Ratio': 0.029850746268656716, 'Normalized_Rating': 5}
{'Nom': 'Person 105', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 106', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 106', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 107', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 108', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 2, 'Total_Occurrences': 69, 'Activity_Ratio': 0.028985507246376812, 'Normalized_Rating': 3}
{'Nom': 'Person 109', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 11', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 11', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 11', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 110', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 111', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 2, 'Total_Occurrences': 69, 'Activity_Ratio': 0.028985507246376812, 'Normalized_Rating': 3}
{'Nom': 'Person 111', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 112', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 112', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 112', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 113', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 114', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 115', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 115', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 2, 'Total_Occurrences': 65, 'Activity_Ratio': 0.03076923076923077, 'Normalized_Rating': 5}
{'Nom': 'Person 116', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 116', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 117', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 117', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
